"year","gdp","gdp_fy","gdp_wages","cpiu","cpiu_irs","ccpiu_irs","awi","tsy_10y","rev","rev_iit","rev_payroll","rev_corp","rev_excise","rev_estate","rev_customs","rev_misc","outlays","outlays_disc","outlays_mand","outlays_mand_oasdi","outlays_mand_health","outlays_mand_other","outlays_ni","unmarried_0","unmarried_1","unmarried_2","unmarried_3","unmarried_4","unmarried_5","unmarried_6","unmarried_7","unmarried_8","unmarried_9","unmarried_10","unmarried_11","unmarried_12","unmarried_13","unmarried_14","unmarried_15","unmarried_16","unmarried_17","unmarried_18","unmarried_19","unmarried_20","unmarried_21","unmarried_22","unmarried_23","unmarried_24","unmarried_25","unmarried_26","unmarried_27","unmarried_28","unmarried_29","unmarried_30","unmarried_31","unmarried_32","unmarried_33","unmarried_34","unmarried_35","unmarried_36","unmarried_37","unmarried_38","unmarried_39","unmarried_40","unmarried_41","unmarried_42","unmarried_43","unmarried_44","unmarried_45","unmarried_46","unmarried_47","unmarried_48","unmarried_49","unmarried_50","unmarried_51","unmarried_52","unmarried_53","unmarried_54","unmarried_55","unmarried_56","unmarried_57","unmarried_58","unmarried_59","unmarried_60","unmarried_61","unmarried_62","unmarried_63","unmarried_64","unmarried_65","unmarried_66","unmarried_67","unmarried_68","unmarried_69","unmarried_70","unmarried_71","unmarried_72","unmarried_73","unmarried_74","unmarried_75","unmarried_76","unmarried_77","unmarried_78","unmarried_79","unmarried_80","unmarried_81","unmarried_82","unmarried_83","unmarried_84","unmarried_85","unmarried_86","unmarried_87","unmarried_88","unmarried_89","unmarried_90","unmarried_91","unmarried_92","unmarried_93","unmarried_94","unmarried_95","unmarried_96","unmarried_97","unmarried_98","unmarried_99","unmarried_100","married_0","married_1","married_2","married_3","married_4","married_5","married_6","married_7","married_8","married_9","married_10","married_11","married_12","married_13","married_14","married_15","married_16","married_17","married_18","married_19","married_20","married_21","married_22","married_23","married_24","married_25","married_26","married_27","married_28","married_29","married_30","married_31","married_32","married_33","married_34","married_35","married_36","married_37","married_38","married_39","married_40","married_41","married_42","married_43","married_44","married_45","married_46","married_47","married_48","married_49","married_50","married_51","married_52","married_53","married_54","married_55","married_56","married_57","married_58","married_59","married_60","married_61","married_62","married_63","married_64","married_65","married_66","married_67","married_68","married_69","married_70","married_71","married_72","married_73","married_74","married_75","married_76","married_77","married_78","married_79","married_80","married_81","married_82","married_83","married_84","married_85","married_86","married_87","married_88","married_89","married_90","married_91","married_92","married_93","married_94","married_95","married_96","married_97","married_98","married_99","married_100"
1970,1073.325,1046.675,551.575,0.121146187980936,0.119925822740903,,0.0856876143120152,7.348333333,192.807,90.412,44.362,32.829,15.705,3.644,2.43,3.425,195.649,120.254,61.015,29.647,8.575,22.793,14.38,3659848,3568981,3594911,3659601,3815361,4103402,4170555,4250063,4371679,4340704,4310472,4355219,4373060,4287480,4129119,4107485,3963229,3769364,3432369,2936603,2448245,2069721,1795358,1349127,953945,740972,684996,588225,487063,424001,372946,370862,340539,318669,305826,304038,291333,294965,309694,316300,317690,338703,344839,347507,350069,358751,362447,364522,376051,374768,363444,383184,396447,400417,406435,418240,433738,442941,456092,460045,459585,482208,484733,498421,495567,499057,503527,506634,520875,495968,503018,521551,519253,507648,493831,487152,483370,461741,448823,411666,366492,348354,329572,298585,266230,225980,192502,160013,130074,103354,80414,61393,46013,33738,26660,18687,12750,8397,5811,3769,5663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30904,41071,69726,193183,434649,738380,1242449,1647531,2083823,2118651,1920063,2225132,2433108,2405682,2243299,2156726,2091913,2184022,2086963,2034701,2030289,2066757,1990919,2014323,2107313,2138276,2116827,2211919,2213307,2204090,2200372,2229774,2213902,2175759,2177957,2094167,1951912,1972939,1947711,1870677,1801151,1750473,1711782,1648304,1596062,1513797,1418759,1394479,1305546,1246136,1146612,1066824,993978,923691,877003,774163,721321,687444,627954,566447,510775,466255,426921,374743,330844,274148,217959,185599,156940,127169,101286,77166,59397,44671,32959,23902,16971,11838,8128,5494,3995,2586,1642,994,676,402,384
1971,1164.875,1116.55,584.525,0.126266505280503,0.125876240612419,,0.0899931598506213,6.159166667,187.139,86.23,47.325,26.785,16.614,3.735,2.591,3.859,210.172,122.531,72.8,35.131,9.587,28.082,14.841,3766257,3657310,3574542,3599844,3666084,3823278,4110204,4178404,4258188,4380336,4348089,4327388,4367153,4387681,4269515,4132902,4089940,3852337,3537937,3122669,2473999,2104543,1773149,1565937,1202128,758569,690040,648989,566288,475186,412520,377426,376188,344417,322167,312350,314613,302145,305387,320507,328807,331365,350436,354545,355506,358210,368198,372754,376436,389632,388969,377893,396651,411009,414960,421067,432683,447894,456457,469231,473410,473131,494196,497542,510914,507980,510266,513041,513905,526257,504087,507258,519844,516112,502717,487213,478385,473249,450692,435698,396163,348944,328048,306635,274236,241181,201813,169363,138537,110639,86352,65665,49323,36376,26253,20415,14082,9470,6147,4217,6428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30536,39524,69417,191374,434913,759073,1205658,1597943,1952104,2318731,2271747,2121731,2282713,2475134,2433229,2260388,2168881,2092814,2180520,2086118,2033583,2024972,2057141,1980440,2000906,2092888,2122678,2102950,2191088,2195917,2186298,2182952,2209690,2190077,2150159,2150470,2067390,1928242,1936692,1912579,1835188,1765958,1714119,1673992,1609143,1554610,1474117,1379357,1344882,1255990,1193582,1096591,1017181,944126,873365,825698,731963,676195,637638,581607,522225,468792,424080,383968,332561,289794,237448,186827,157264,131505,105379,82987,62450,47453,35200,25627,18240,12598,8662,5873,3921,2808,1803,1126,691,450,438
1972,1279.125,1216.25,638.8,0.130399147178661,0.130070367746527,,0.0988125748401378,6.21,207.309,94.737,52.574,32.166,15.477,5.436,3.287,3.632,230.682,128.544,86.66,39.364,11.625,35.671,15.478,3600288,3765344,3660896,3581655,3605848,3673572,3832132,4117089,4186581,4266635,4389239,4355597,4344542,4378823,4371435,4272244,4115840,3977108,3623316,3227403,2660746,2144093,1826328,1566022,1410282,978745,715580,661716,631797,558159,467546,419522,385909,382960,350772,331031,324740,327646,314286,316967,333863,343268,344659,360811,363799,364588,368730,380071,386031,391065,405292,404910,394078,411154,426034,429640,435518,446680,461629,469850,482043,486714,487103,506600,510269,522480,518808,519576,520178,518615,529321,509858,508560,515272,510767,495697,479219,468816,462134,437536,419318,377228,328604,305115,281392,248077,215002,177221,146396,117747,92462,70882,52698,38876,28137,19943,15192,10300,6804,4377,7073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30594,39943,68674,192611,430902,756020,1236371,1540681,1888165,2167064,2479598,2500781,2170587,2317552,2498230,2446495,2272481,2161683,2088748,2174559,2081847,2026182,2012813,2043989,1967554,1985305,2074920,2104133,2088377,2170461,2177802,2166229,2161935,2185987,2162139,2120674,2119685,2037640,1901575,1898248,1875694,1798241,1729575,1676769,1635185,1568680,1511931,1432824,1337847,1293545,1205335,1140779,1046730,967874,894887,823832,774945,689736,631946,589381,536133,478830,426870,381528,340874,291471,251188,203763,158497,131958,109074,86349,67118,49818,37312,27301,19540,13656,9174,6229,4158,2722,1932,1216,763,453,487
1973,1425.375,1352.725,708.775,0.138560465151458,0.136099425501808,,0.104995251801315,6.8425,230.799,103.246,63.115,36.153,16.26,4.917,3.188,3.92,245.708,130.395,97.964,48.176,12.213,37.575,17.349,3301104,3606541,3770602,3666186,3590032,3613059,3682179,3841164,4124406,4195207,4275497,4398507,4363627,4361750,4360609,4376138,4254626,4007467,3748729,3318095,2768205,2330321,1872471,1625099,1417176,1164172,920751,683803,641703,619878,546197,472668,425002,390968,387727,358332,342327,336363,339124,325041,328683,346993,355338,354947,368978,372388,374231,379825,393043,400091,405892,420772,420601,409479,424309,439684,442981,448699,459670,474745,482445,494384,500315,501643,519055,522435,532894,528294,527114,525379,521718,530524,513341,507507,508683,503197,487056,470132,457988,448730,421168,399488,355535,306016,280500,255207,221803,189375,153652,124830,98709,76160,57299,41598,30195,21521,14994,11251,7506,4912,7724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29859,40030,69624,189041,431497,747321,1226722,1582800,1817810,2101475,2323729,2730820,2564410,2208499,2344240,2515642,2462772,2270806,2154829,2086851,2169465,2075370,2015386,2000496,2031565,1955311,1968831,2056355,2087018,2075740,2151010,2159184,2144299,2138947,2159701,2131911,2089466,2087536,2006637,1874222,1859815,1838602,1760906,1692595,1638428,1594748,1526502,1467207,1388787,1293515,1240481,1153537,1087501,996360,918173,845348,773849,724067,647068,587500,541054,490436,434800,384061,338694,298842,252735,215622,173000,133132,109627,89535,69970,53648,39262,29024,20924,14715,10074,6588,4393,2890,1888,1305,827,502,526
1974,1545.25,1482.85,772.275,0.153817451289018,0.14928471267966,,0.111236658376067,7.5575,263.224,118.952,75.071,38.62,16.844,5.035,3.334,5.368,269.359,138.207,109.703,54.99,14.79,39.923,21.449,3188926,3304926,3618081,3776953,3672343,3599481,3621387,3691115,3850971,4132688,4204899,4285434,4408834,4371972,4350013,4363091,4360661,4146949,3787859,3445400,2868192,2439909,2056098,1673397,1478335,1186614,1093402,877001,660794,627276,603956,548595,476672,427557,394624,393826,368755,353036,346552,349266,336100,340327,357927,364566,363342,376591,381647,384559,392103,406911,414504,420575,435833,435211,423568,436029,452066,455175,461108,472295,487285,494858,507270,514706,516541,531132,533705,542176,536324,533158,529430,523492,529957,515280,505316,500911,494864,477883,460022,445108,432417,401823,377166,331738,281923,254926,228611,195708,164447,131171,104717,81398,61714,45541,32295,23010,16088,11019,8117,5340,8402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29119,39020,70062,190104,421558,746331,1210095,1567249,1872871,2023024,2262010,2564392,2809124,2615720,2238367,2365133,2536601,2464275,2269936,2150776,2086389,2162993,2065824,2004882,1989261,2020032,1942245,1951880,2039428,2072234,2064483,2131468,2139105,2120893,2113936,2131640,2100461,2057522,2054940,1975771,1847003,1821584,1801250,1723083,1654676,1598664,1553074,1482971,1420592,1342564,1247481,1186752,1101622,1034465,946281,868773,795840,724227,674163,604624,543441,494029,445453,391058,341676,297411,259550,217312,183399,145641,110855,90147,72636,55986,42330,30551,22246,15761,10882,7321,4650,3060,1997,1278,876,547,574
1975,1684.9,1606.925,814.85,0.167878830315751,0.165301035673035,,0.119549668961737,7.9875,279.09,122.386,84.534,40.621,16.551,4.611,3.676,6.711,332.331,157.964,151.123,63.557,19.054,68.512,23.244,3224698,3195644,3312646,3630995,3784578,3679799,3610102,3630009,3700652,3861534,4141743,4215162,4295888,4419073,4351768,4358270,4345437,4255876,3928474,3495523,3000052,2546494,2165971,1852548,1524639,1253519,1113528,1038221,844308,643695,609016,603302,550129,478032,428958,399495,403221,378702,362373,355526,359857,347269,350008,366149,371936,371294,384906,391679,396124,405318,421236,428747,434644,449481,448228,436426,446747,463635,467033,473540,484595,499793,508041,521183,529683,531429,542457,543963,549995,542951,538206,532423,523929,528188,516372,502114,492561,486255,468285,448820,430533,414205,380896,353350,306891,257428,229635,203014,171207,141603,111104,87213,66632,49662,36072,25101,17627,12158,8223,5968,9506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28470,38097,68538,189720,421680,727411,1204899,1544738,1852890,2093234,2178818,2501067,2647609,2871763,2655774,2262171,2389752,2542070,2466241,2271299,2147602,2084458,2153068,2056630,1995620,1979108,2007874,1928856,1936571,2024727,2058725,2052981,2110645,2117695,2095682,2087370,2102419,2068463,2025437,2022893,1945610,1820161,1783746,1764035,1684905,1615887,1558302,1510603,1437990,1372439,1295137,1200559,1133184,1050035,982195,896909,819909,747117,675856,625468,562383,500258,448266,401313,348589,301635,259641,224347,185878,155284,121983,91696,73577,58486,44466,33173,23618,16939,11809,8044,5330,3312,2168,1399,891,608,647
1976,1873.425,1786.1,899.75,0.177573644318015,0.176022273159599,,0.127798963457209,7.611666667,298.06,131.603,90.769,41.409,16.963,5.216,4.074,8.026,371.792,175.577,169.488,72.699,23.565,73.224,26.727,3215355,3233603,3205573,3321420,3645059,3793393,3688290,3620790,3638943,3710606,3872443,4150998,4225757,4306034,4400775,4350756,4346087,4241883,4041814,3638134,3066783,2681748,2276391,1959533,1697503,1304049,1175780,1055544,996281,819440,622777,605491,602101,549363,478582,431541,407820,412164,387254,370529,365000,370666,356590,357201,372649,378905,380034,394029,402974,408607,419064,435423,442188,447057,461310,459861,448484,456725,474989,479055,485745,496956,513269,522413,535741,544729,545753,552730,552736,556319,548472,542189,534146,523294,525619,516409,498113,483819,477000,457334,435660,413824,394074,358387,328680,282183,233845,205803,179310,148920,121182,93570,72278,54341,39885,28535,19488,13514,9199,6154,10870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28134,37156,67300,183768,418509,725340,1171117,1536350,1827205,2072111,2266086,2406848,2593059,2715573,2920932,2687777,2289482,2399189,2547573,2470148,2273177,2142920,2078744,2143291,2048483,1987133,1967996,1994976,1916725,1923217,2011344,2045247,2040329,2088590,2094464,2069058,2059762,2072826,2036771,1994454,1991947,1915937,1793128,1745737,1725981,1645662,1576581,1517394,1466766,1391289,1322894,1246479,1153057,1079988,999059,930631,847769,771302,699006,628106,577289,520197,457399,403374,358310,308221,264481,225289,192698,158109,130760,101571,75391,59709,46841,35141,25920,18188,12832,8821,5930,3882,2365,1523,980,617,733
1977,2081.825,2024.325,994.15,0.189061868986519,0.18663865746781,,0.135458191552137,7.419166667,355.559,157.626,106.485,54.892,17.548,7.327,5.15,6.531,409.218,197.073,182.244,83.69,28.452,70.102,29.901,3246150,3223431,3245582,3216680,3331430,3660444,3803488,3697038,3631513,3648127,3720885,3883697,4160579,4236427,4289284,4401902,4329703,4251432,4034677,3757509,3213810,2760817,2413172,2069950,1799180,1469939,1219501,1113394,1011098,963870,789904,616395,601875,599124,548176,480356,438000,415852,419708,394672,379309,374828,379669,363587,362842,378780,386641,389628,404400,415208,421655,432584,448526,453622,457457,471628,470677,460051,466693,486598,490721,497790,510068,527751,537316,550231,559028,558914,561228,559774,561230,552721,544787,534741,521752,521801,515251,493025,473712,465611,443707,419554,394336,371323,333711,302364,256228,209352,181523,155746,127174,101776,77229,58585,43262,31181,21889,14625,9967,6687,11583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26841,36708,65798,178893,402605,717733,1164213,1492209,1818069,2047791,2246984,2512570,2499358,2669976,2770154,2960542,2724152,2301896,2408439,2554707,2474345,2273699,2134288,2073220,2134695,2041212,1977805,1956244,1983544,1906627,1911056,1997814,2030445,2026201,2064687,2069628,2041115,2031550,2043425,2006171,1964521,1961490,1885966,1765321,1706628,1686320,1605174,1535712,1473968,1420198,1342491,1271856,1196921,1104978,1027028,948065,878784,798198,722617,650848,580423,529645,477636,414365,359319,316904,270230,230066,193876,164176,133297,108879,83421,61051,47669,36849,27328,19831,13689,9515,6444,4263,2744,1632,1047,661,783
1978,2351.6,2273.45,1120.55,0.203487128442354,0.199509385110605,,0.146214991223435,8.41,399.561,180.988,120.967,59.952,18.376,5.285,6.573,7.42,458.746,218.71,204.578,92.447,32.512,79.619,35.458,3423899,3252482,3234428,3259085,3229530,3343444,3678074,3814596,3706656,3643516,3658501,3732304,3896042,4171028,4222169,4291954,4383526,4230703,4057931,3761910,3343039,2911193,2500731,2204541,1906149,1570394,1376690,1150585,1065226,976477,926273,778316,610296,597143,596231,548317,486657,444282,422673,426223,402946,388669,383064,386433,369201,368253,385764,395341,400622,415732,428100,434447,444893,459385,462858,466326,481221,481179,472020,477140,498012,502372,510868,524450,542975,552343,564052,572163,570479,568171,565669,565185,555963,546584,534586,519111,516923,513090,486657,461851,451927,427617,401169,372857,347127,308441,276184,231018,186143,158976,134072,107707,84790,63295,47261,34350,24350,16813,11004,7396,12716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25725,35025,65353,172793,389926,687694,1148324,1481185,1767192,2041642,2227557,2491448,2625456,2576604,2732898,2814985,3005394,2742603,2314014,2418953,2562010,2477445,2269904,2126012,2069173,2127469,2033440,1968105,1946161,1974425,1897972,1899227,1983562,2014691,2010463,2039452,2043582,2012890,2003984,2015638,1977100,1935274,1930784,1855367,1736155,1666249,1645800,1563731,1492904,1428310,1371766,1292196,1220065,1147044,1057005,974653,897289,827080,748640,673684,602426,533074,482535,434936,372106,317499,278257,235296,198747,165770,138926,111416,89802,67946,49065,37763,28899,21098,15071,10250,7028,4691,3059,1929,1134,713,848
1979,2627.325,2565.575,1253.325,0.226385603341545,0.219457702292206,,0.15900571930449,9.4425,463.302,217.841,138.939,65.677,18.745,5.411,7.439,9.25,504.029,239.998,221.398,102.594,37.914,80.89,42.633,3448762,3432174,3262748,3248664,3276463,3246669,3360016,3698836,3828719,3719092,3658428,3671547,3746066,3909821,4157828,4226779,4275698,4289775,4039108,3801976,3367864,3048323,2652668,2295352,2035202,1677637,1467814,1300013,1096583,1027486,936656,908968,767427,603561,592802,594508,553657,492760,449205,428381,433503,411733,396358,389031,391681,374463,374304,393514,405217,412448,427620,440588,445670,454553,467701,470335,474420,490444,492036,484534,487171,509138,514825,524967,539275,558091,566434,576300,583197,580080,573403,570121,567692,557998,547162,532711,514645,510306,508771,477631,447075,434973,408245,379618,348772,321059,281904,249104,205439,163054,136841,113451,89478,69022,50417,36820,26163,18127,12234,7820,13345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24758,33566,62744,169942,373283,664515,1095547,1459625,1754900,1989472,2227290,2472830,2610239,2722050,2638901,2785435,2864893,3029547,2759875,2326429,2428684,2567649,2474905,2265819,2118609,2065538,2118616,2024240,1959165,1937551,1965889,1888610,1885615,1967198,1996339,1992461,2012306,2016600,1984873,1977628,1988823,1948122,1905104,1898580,1822360,1704239,1624157,1603362,1519389,1446818,1379776,1320813,1240245,1167280,1096425,1008098,921565,845434,774420,697770,623549,553527,485627,435547,392300,331210,278130,242129,202985,170169,140404,116202,91898,73076,54501,38764,29560,22290,16024,11255,7517,5060,3313,2114,1321,752,890
1980,2857.325,2791.9,1373.425,0.256951558512829,0.249209791649785,,0.173327988275403,11.46,517.112,244.069,157.803,64.6,24.329,6.389,7.174,12.748,590.941,276.323,262.085,117.053,44.967,100.065,52.533,3614912,3469594,3444933,3275560,3264919,3295340,3264969,3375758,3718653,3841882,3730913,3672513,3683714,3758438,3899418,4160198,4210574,4187040,4104704,3787977,3429275,3086636,2793444,2443436,2124002,1803783,1565684,1381505,1239010,1052936,983730,916196,892551,756124,597348,589271,598314,558668,497276,452886,434866,441363,418825,401778,393513,396536,380355,381086,402410,415886,424917,439007,451262,453961,461520,474227,477219,482418,500354,503746,496962,497104,521370,528632,539834,554333,572594,579315,586769,592625,588428,577694,573769,569712,559558,546759,529719,509112,502131,502125,466173,430093,415763,386739,356340,323736,294637,255446,222732,181121,141383,116812,95327,73933,56025,40156,28764,20043,13612,9009,14576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22639,32280,60415,161251,364499,632048,1055130,1389318,1730246,1979229,2177284,2473879,2599543,2710226,2800303,2688425,2841565,2893068,3050642,2775684,2336571,2435887,2566130,2471016,2261676,2110927,2059716,2107788,2015282,1951115,1929050,1956386,1877277,1869915,1948317,1975762,1972295,1984249,1990007,1958359,1952427,1962296,1918388,1873602,1864089,1786811,1670672,1580957,1558658,1472420,1398491,1329374,1268949,1188191,1114995,1045956,958874,868275,793185,721295,646496,573788,505454,439261,390273,351382,292781,242030,209408,174130,144791,117911,96232,75097,58893,43281,30557,22986,17083,12101,8355,5492,3631,2335,1473,904,957
1981,3207.025,3133.225,1511.4,0.283618794912266,0.277179376975369,,0.190775669983838,13.91083333,599.272,285.917,182.72,61.137,40.839,6.787,8.083,13.789,678.241,307.913,301.562,137.881,54.76,108.921,68.766,3661107,3613874,3470745,3448248,3279703,3269466,3300340,3273172,3387032,3731179,3855014,3751688,3691103,3705257,3759263,3912675,4159524,4138046,4022504,3870267,3426626,3156270,2826753,2566071,2248074,1875406,1663878,1453809,1297820,1178179,998763,956967,895151,877703,747796,594380,595419,606784,567411,506416,463442,448407,453878,429660,411615,403773,407695,392648,395166,417718,430964,440320,452804,462899,464511,471618,484694,489394,497260,517348,519908,513823,514758,538659,545973,557086,570949,586628,590512,594647,598535,594416,582836,577917,571472,560023,544042,524545,501397,491352,487794,449142,410586,392934,361668,329625,295939,265776,227197,195229,155958,119662,97132,77845,59295,44123,31040,21810,14901,9919,16143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20463,28429,57029,152646,343939,619117,1003273,1346247,1655324,1966152,2183730,2431526,2623602,2717571,2798557,2866552,2743831,2876220,2913084,3068203,2784471,2338757,2431378,2556536,2460147,2252159,2096550,2048109,2091271,2000546,1936515,1914278,1936632,1857924,1850350,1924568,1944262,1943300,1954566,1961094,1931562,1922540,1925302,1880427,1835244,1822217,1740356,1627329,1535745,1504322,1417287,1343737,1276171,1213929,1133429,1058156,987872,903720,814536,739673,667370,595399,524732,458644,395254,348078,310398,256121,209692,179686,147785,121201,97201,78182,60092,46362,33836,23519,17402,12698,8827,5980,3853,2494,1580,975,1047
